GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
NUT_BF_EBF_NUMTH,Exclusive breastfeeding under six months (in thousands),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,,,,246.1,246.1 [226.9-265.3],226.9,265.3
vmsl,Measles immunization coverage among one-year-olds (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE03,Decile 3,63.4888,63.5 [56.5-69.9],56.50716,69.94579
tfr,Total fertility rate (per woman),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE06,Decile 6,5.90357,5.9 [5.4-6.4],5.41536,6.43553
NCD_HYP_TREATMENT_A,"Prevalence of treatment (taking medicine) for hypertension among adults aged 30-79 with hypertension, age-standardized",,2018,2018,2018,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,15.6,15.6 [8.2-25.3],8.2,25.3
CHILDMORT_DEATHS_10TO14,Number of deaths among children ages 10 to 14 years,,2004,2004,2004,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,3495.0,3 495 [1 068-6 139],1068.0,6139.0
NUT_BF_EVBF,Ever breastfed,,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,95.6,95.6 [94.8-96.3],94.8,96.3
SA_0000001730,Price measures,,2016,2016,2016,EMR,Eastern Mediterranean,SDN,Sudan,PRICEMEASURETYPE,PRICEMEASURETYPE_SA_BELOW_COST_SELLING_BAN,Ban on below-cost selling,,Total ban,,
NCD_HYP_PREVALENCE_C,"Prevalence of hypertension among adults aged 30-79 years, crude",,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,40.4,40.4 [31.2-49.9],31.2,49.9
stunt5,Stunting prevalence in children aged < 5 years (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,,No data,,
tfr,Total fertility rate (per woman),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201009,sinnar,5.74784,5.7 [5.1-6.5],5.10559,6.47035
R_Total_tax,Taxes as a % of price: total tax,,2012,2012,2012,EMR,Eastern Mediterranean,SDN,Sudan,TOBACCO_NICOTINE_PRODUCT,TOBACCO_NICOTINE_PRODUCT_CIGARETTE_MOSTSOLD,Most sold brand of cigarettes (20 sticks),69.42,69.42,,
cpmowho,Contraceptive prevalence - use of modern methods (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201012,south kordofan,3.35638,3.4 [2.4-4.6],2.42352,4.63128
NUTRITION_564,Children aged <5 years wasted for age (%),,2006,2006,2006,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,20.1,20.1,,
csection5,Births by caesarean section (in the five years preceding the survey) (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201004,kassala,,No data,,
SA_0000001436,"Age-standardized DALYs, violence, per 100,000",,2004,2004,2004,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,2725.0,2725,,
csection5,Births by caesarean section (in the five years preceding the survey) (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE08,Decile 8,,No data,,
MENING_1,Number of suspected meningitis deaths reported,,2000,2000,2000,EMR,Eastern Mediterranean,SDN,Sudan,,,,,468,,
SA_0000001416,"Alcohol, heavy episodic drinking (15+), drinkers only, past 30 days (%), age-standardized",,2006,2006,2006,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,12.75238,12.8 [12.3 - 12.8],12.33124,12.84701
vdpt,DTP3 immunization coverage among one-year-olds (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,61.06086,61.1 [57.2-64.8],57.22927,64.76055
ort,Children aged < 5 years with diarrhoea receiving oral rehydration therapy and continued feeding (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201405,gadarif,74.85406,74.9 [67.7-80.9],67.71688,80.85936
NCD_BMI_MEAN,Mean BMI (kg/m²) (age-standardized estimate),,1976,1976,1976,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,,No data,,
nmr,Neonatal mortality rate (deaths per 1000 live births),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,EDUCATIONLEVEL,EDUCATIONLEVEL_SHLM,Secondary or higher,23.85671,23.9 [16.5-31.2],16.51179,31.20163
NUT_CF_MDD,Minimum dietary diversity 6-23 months,,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHQUINTILE,WEALTHQUINTILE_TOTL,Total,24.0,24.0 [21.6-26.5],21.6,26.5
NUT_BF_EBF,Exclusive breastfeeding under six months,,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,EDUCATIONLEVEL,EDUCATIONLEVEL_EDUC_SECONDARY,Secondary education,61.3,61.3 [52.6-69.4],52.6,69.4
IR_INSECTICIDERESISTANCE_PREV,Number of insecticide classes to which resistance was reported,,2004,2004,2004,EMR,Eastern Mediterranean,SDN,Sudan,,,,3.0,3,,
VIOLENCE_HOMICIDERATE,Estimates of rates of homicides per 100 000 population,,2012,2012,2012,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,9.80264,9.8 [4.9-17.0],4.9199,16.98865
sba5,Births attended by skilled health personnel (in the five years preceding the survey) (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,EDUCATIONLEVEL,EDUCATIONLEVEL_NHLM,None,,No data,,
SA_0000001510,Advertising restrictions on local radio,,2016,2016,2016,EMR,Eastern Mediterranean,SDN,Sudan,ADVERTISINGTYPE,ADVERTISINGTYPE_SA_SPIRITS_ADS,Spirits Ads,,ban,,
SDGDISASTER,Average death rate due to natural disasters (per 100 000 population),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,,,,0.69724,0.70,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),,1992,1992,1992,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,5.0,5.0 [4.4-5.7],4.4,5.7
IHRSPAR2_C06,Human resources,,2022,2022,2022,EMR,Eastern Mediterranean,SDN,Sudan,,,,30.0,30,,
vbcg,BCG immunization coverage among one-year-olds (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,EDUCATIONLEVEL,EDUCATIONLEVEL_PRLM,Primary,88.45437,88.5 [85.1-91.2],85.0721,91.15003
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),,2001,2001,2001,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,,No data,,
sba,Births attended by skilled health personnel (in the two or three years preceding the survey) (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201405,gadarif,82.67305,82.7 [71.4-90.1],71.40934,90.11362
cci,Composite coverage index (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201015,south darfur,30.83627,30.8 [25.1-37.3],25.05946,37.28227
VACCINEPREVENTABLE_WILDPOLIO,Number of reported cases of poliomyelitis by wild poliovirus (WPV),,2021,2021,2021,EMR,Eastern Mediterranean,SDN,Sudan,,,,0.0,0,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),,1977,1977,1977,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,,No data,,
TOB_R_PRICE,Retail price for tobacco and nicotine products,,2022,2022,2022,EMR,Eastern Mediterranean,SDN,Sudan,TOBACCO_NICOTINE_PRODUCT,TOBACCO_NICOTINE_PRODUCT_TOBACCO_HEATED_HTP_MOSTSOLD,Most sold brand of heated tobacco products (20 sticks),,,,
VIOLENCE_HOMICIDERATE,Estimates of rates of homicides per 100 000 population,,2013,2013,2013,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,9.63243,9.6 [7.6-12.4],7.61807,12.35363
CHILDMORT10TO19,Adolescent mortality rate (per 1 000 age specific cohort),,1990,1990,1990,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,7.43473,7.43 [1.87-14.98],1.86532,14.98199
uwgt5,Underweight prevalence in children aged < 5 years (%) (Health inequality monitor),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE08,Decile 8,,No data,,
Rev_import,Tobacco tax revenues - import duties,,2020,2020,2020,EMR,Eastern Mediterranean,SDN,Sudan,,,,,,,
TB_Notification_agesex_num,The number of new and relapse cases of tuberculosis detected in a given year by age and sex,,2021,2021,2021,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,363.0,363,,
IR_ORGANOCHLORINE_EXTENT,Percentage of sites for which organochlorine resistance was reported,,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,,,,90.0,90,,
HWF_0014,"Pharmacists  (per 10,000)",,2008,2008,2008,EMR,Eastern Mediterranean,SDN,Sudan,,,,0.12,0.12,,
NCD_HYP_DIAGNOSIS_C,"Prevalence of previous diagnosis of hypertension among adults aged 30-79 with hypertension, crude",,1997,1997,1997,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,23.7,23.7 [12.4-37.7],12.4,37.7
W22_emissions_qual_C,Smokeless tobacco packaging and labelling must display qualitative information on relevant constituents and emissions,,2012,2012,2012,EMR,Eastern Mediterranean,SDN,Sudan,,,,,No,,
CHILDMORT10TO19,Adolescent mortality rate (per 1 000 age specific cohort),,2008,2008,2008,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,5.00478,5 [1.42-9.09],1.42315,9.0945
SA_0000001799,"Licenses issued for wholesale/distribution, change since 2010",,2016,2016,2016,EMR,Eastern Mediterranean,SDN,Sudan,ALCOHOLTYPE,ALCOHOLTYPE_SA_SPIRITS,Spirits,,No data,,
ort,Children aged < 5 years with diarrhoea receiving oral rehydration therapy and continued feeding (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE02,Decile 2,56.01064,56.0 [49.1-62.7],49.07804,62.71642
itnch,Children aged < 5 years sleeping under insecticide-treated nets (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE04,Decile 4,,No data,,
R_tax_other,Taxes as a % of price: other taxes,,2012,2012,2012,EMR,Eastern Mediterranean,SDN,Sudan,TOBACCO_NICOTINE_PRODUCT,TOBACCO_NICOTINE_PRODUCT_CIGARETTE_MOSTSOLD,Most sold brand of cigarettes (20 sticks),0.0,0,,
itnwm,Pregnant women sleeping under insecticide-treated nets (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHQUINTILE,WEALTHQUINTILE_WQ3,Q3,,No data,,
NTD_LEISHVNUM,Number of cases of visceral leishmaniasis reported,,2008,2008,2008,EMR,Eastern Mediterranean,SDN,Sudan,,,,3310.0,3310,,
SA_0000001400_ARCHIVED,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",,2012,2012,2012,EMR,Eastern Mediterranean,SDN,Sudan,ALCOHOLTYPE,ALCOHOLTYPE_SA_TOTAL,All types,0.0,0,,
WSH_20,"Attributable fraction of diarrhoea to inadequate water, sanitation and hygiene",,2019,2019,2019,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,0.75,0.75 [0.63-0.85],0.63,0.85
E_Group,"Enforcing bans on tobacco advertising, promotion and sponsorship",,2022,2022,2022,EMR,Eastern Mediterranean,SDN,Sudan,,,,,5,,
IHRSPAR2_C13,Food safety,,2022,2022,2022,EMR,Eastern Mediterranean,SDN,Sudan,,,,20.0,20,,
NTD_LEPR3,Leprosy - Number of cases registered for treatment,,2016,2016,2016,EMR,Eastern Mediterranean,SDN,Sudan,,,,630.0,630,,
IR_ORGANOCHLORINE_EXTENT,Percentage of sites for which organochlorine resistance was reported,,2012,2012,2012,EMR,Eastern Mediterranean,SDN,Sudan,,,,,Not tested/reported,,
E14_prod_tv_films,Appearance of tobacco products in TV and/or films,,2012,2012,2012,EMR,Eastern Mediterranean,SDN,Sudan,,,,,Yes,,
NCD_HYP_CONTROL_A,"Prevalence of controlled hypertension among adults aged 30-79 years with hypertension, age-standardized",,2004,2004,2004,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,2.1,2.1 [0.5-5.6],0.5,5.6
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),,1994,1994,1994,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,,No data,,
carep,Children aged < 5 years with pneumonia symptoms taken to a health facility (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,AGEGROUP,AGEGROUP_YEARS20-49,20-49 years,,No data,,
SA_0000001686,Exports of wine (grape) in 1000s hectolitres,,2000,2000,2000,EMR,Eastern Mediterranean,SDN,Sudan,,,,,0,,
bmi30wm,"Obesity prevalence in non-pregnant women aged 15-49 years, BMI >= 30 (%)",,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE09,Decile 9,,No data,,
cpmowho,Contraceptive prevalence - use of modern methods (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE02,Decile 2,3.9879,4.0 [2.6-6.0],2.64189,5.97758
UHCTRANSFATS,Best-practice policy implemented for industrially produced trans-fatty acids (TFA) (Y/N),,2022,2022,2022,EMR,Eastern Mediterranean,SDN,Sudan,,,,,No data,,
SA_0000001400_ARCHIVED,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",,1984,1984,1984,EMR,Eastern Mediterranean,SDN,Sudan,ALCOHOLTYPE,ALCOHOLTYPE_SA_WINE,Wine,0.0,0.00,,
NCD_HYP_PREVALENCE_C,"Prevalence of hypertension among adults aged 30-79 years, crude",,2018,2018,2018,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,36.1,36.1 [27.0-45.9],27.0,45.9
itnwm,Pregnant women sleeping under insecticide-treated nets (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,,No data,,
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),,1998,1998,1998,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,35.37267,35.4 [24.2-48.2],24.20326,48.17448
R_Sp_excise,Taxes as a % of price: specific excise,,2022,2022,2022,EMR,Eastern Mediterranean,SDN,Sudan,TOBACCO_NICOTINE_PRODUCT,TOBACCO_NICOTINE_PRODUCT_ELIQUID_CLOSED_RECHARGABLE_CHEAPEST,Cheapest brand of e-liquid of a closed rechargeable ENDS/ENNDS system (1ml),,,,
FINPROTECTION_IMP_PG_365_STD,"Increase in poverty gap due to household health expenditures, expressed as a proportion of the $3.65 a-day poverty line (%, national, rural, urban)",,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,1.3,1.3,,
imr,Infant mortality rate (deaths per 1000 live births),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE07,Decile 7,47.31917,47.3 [35.2-59.4],35.24786,59.39048
SA_0000001509_ARCHIVED,Advertising restrictions on national radio,,2012,2012,2012,EMR,Eastern Mediterranean,SDN,Sudan,ADVERTISINGTYPE,ADVERTISINGTYPE_SA_SPIRITS_ADS,Spirits Ads,,ban,,
vzdpt,One-year-old children who have not received any doses of the DTP vaccine (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201009,sinnar,14.00879,14.0 [8.7-21.9],8.66676,21.85563
NCD_HYP_TREATMENT_A,"Prevalence of treatment (taking medicine) for hypertension among adults aged 30-79 with hypertension, age-standardized",,1999,1999,1999,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,14.4,14.4 [5.6-27.5],5.6,27.5
CCO_1,Poverty headcount ratio at $1.25 a day (PPP) (% of population),,2009,2009,2009,EMR,Eastern Mediterranean,SDN,Sudan,,,,19.8,19.8,,
MENING_1,Number of suspected meningitis deaths reported,,2001,2001,2001,EMR,Eastern Mediterranean,SDN,Sudan,,,,,336,,
NCD_BMI_MEAN,Mean BMI (kg/m²) (age-standardized estimate),,1989,1989,1989,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,,No data,,
sba,Births attended by skilled health personnel (in the two or three years preceding the survey) (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHQUINTILE,WEALTHQUINTILE_WQ1,Q1 (Poorest),48.19601,48.2 [41.6-54.8],41.64364,54.81101
cci,Composite coverage index (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201014,west darfur,38.1165,38.1 [32.7-43.8],32.70345,43.84182
sba,Births attended by skilled health personnel (in the two or three years preceding the survey) (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE05,Decile 5,70.49894,70.5 [65.4-75.1],65.39441,75.1368
TB_ret_tad,Retreatment cases: treatment after default (pulmonary smear and/or culture positive),,2009,2009,2009,EMR,Eastern Mediterranean,SDN,Sudan,,,,752.0,752,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),,1981,1981,1981,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,4.9,4.9 [3.9-5.8],3.9,5.8
cpmt,Contraceptive prevalence - modern and traditional methods (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHQUINTILE,WEALTHQUINTILE_WQ2,Q2,2.08819,2.1 [1.5-2.8],1.54128,2.82361
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),,2019,2019,2019,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,37.37897,37.4 [27.2-47.9],27.23399,47.92603
O_Bup_ins,Bupropion - cost covered,,2016,2016,2016,EMR,Eastern Mediterranean,SDN,Sudan,,,,,Not applicable,,
vita,Children aged 6-59 months who received vitamin A supplementation (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201401,northern,83.18346,83.2 [78.8-86.8],78.78808,86.82042
cpmowho,Contraceptive prevalence - use of modern methods (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE02,Decile 2,1.42818,1.4 [0.8-2.6],0.79556,2.55094
RSUD_46,"Length of stay for inpatient detoxification, days",,2008,2008,2008,EMR,Eastern Mediterranean,SDN,Sudan,SUBSTANCETYPEDISORDER,SUBSTANCETYPEDISORDER_ALCOHOL_USE_DISORDERS,Alcohol use disorders,,7       ,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),,1987,1987,1987,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,5.1,5.1 [4.4-5.8],4.4,5.8
sba5,Births attended by skilled health personnel (in the five years preceding the survey) (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,AGEGROUP,AGEGROUP_YEARS15-19,15-19 years of age,,No data,,
O_Ins_off_hlth_prof,Treatment for tobacco dependence in offices of health professionals cost covered,,2012,2012,2012,EMR,Eastern Mediterranean,SDN,Sudan,,,,,Not applicable,,
AIR_43,Ambient air pollution attributable DALYs,,2012,2012,2012,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,2413.03662,2413,,
SA_0000001437,"Age-standardized death rates, alcohol use disorders, per 100,000",,2002,2002,2002,EMR,Eastern Mediterranean,SDN,Sudan,,,,1.1,1.1,,
vita,Children aged 6-59 months who received vitamin A supplementation (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201412,south kordofan,79.06827,79.1 [74.2-83.2],74.22375,83.20828
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),,2018,2018,2018,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,37.95765,38.0 [31.3-44.8],31.26706,44.83323
NCD_CCS_Thiazide,General availability of thiazide diuretics in the public health sector,,2019,2019,2019,EMR,Eastern Mediterranean,SDN,Sudan,,,,,Yes,,
Rev_govt_total,Annual tax revenues - total revenues,,2020,2020,2020,EMR,Eastern Mediterranean,SDN,Sudan,,,,11658075181.0,11 658 075 181,,
imr,Infant mortality rate (deaths per 1000 live births),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201013,north darfur,50.51178,50.5 [40.1-61.0],40.05301,60.97056
SA_0000001759_ARCHIVED,"15-19 years old, current drinkers (%)",,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,71.0,71.0,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),,1993,1993,1993,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,37.72427,37.7 [28.6-47.8],28.56581,47.76518
E26_direct_ad_fines,Law requires fines for violations of direct advertising bans,,2007,2007,2007,EMR,Eastern Mediterranean,SDN,Sudan,,,,,Yes,,
cci2030,Composite coverage index (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHQUINTILE,WEALTHQUINTILE_WQ2,Q2,43.89039,43.9,,
TB_notif_num_newrel_clindx,Number of people diagnosed with new episode of pulmonary TB who are clinically diagnosed.,,2001,2001,2001,EMR,Eastern Mediterranean,SDN,Sudan,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_CDPTB,Clinically diagnosed pulmonary TB,7071.0,7071,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),,1991,1991,1991,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,,No data,,
HIV_0000000022,Estimated number of people eligible for antiretroviral therapy according to 2010 guidelines,,2012,2012,2012,EMR,Eastern Mediterranean,SDN,Sudan,,,,, [22 000-33 000],22000.0,33000.0
csection,Births by caesarean section (in the two or three years preceding the survey) (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,4.49053,4.5 [3.6-5.6],3.56382,5.6441
vmsl,Measles immunization coverage among one-year-olds (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE05,Decile 5,85.45929,85.5 [79.9-89.7],79.94828,89.65171
AMR_INFECT_ECOLI,Proportion of bloodstream infection due to Escherichia coli resistant to third-generation cephalosporins (%),,2018,2018,2018,EMR,Eastern Mediterranean,SDN,Sudan,,,,66.67,66.7,,
BP_05,Mean systolic blood pressure (crude estimate),,1987,1987,1987,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,122.7,122.7 [114.5-131.0],114.5,131.0
E14b_movies_anti_tob_ads,"Requirement to present prescribed anti-tobacco ads before, during or after the broadcasting or showing of any visual entertainment media product that depicts tobacco products, use or images",,2020,2020,2020,EMR,Eastern Mediterranean,SDN,Sudan,,,,,Not applicable,,
E23_vending_machines,Ban on tobacco vending machines,,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,,,,,Yes,,
anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE07,Decile 7,,No data,,
stunt5,Stunting prevalence in children aged < 5 years (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,EDUCATIONLEVEL,EDUCATIONLEVEL_PRLM,Primary,37.78729,37.8 [35.5-40.1],35.53664,40.09184
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),,1991,1991,1991,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,34.09697,34.1 [20.7-49.0],20.72189,48.96969
CHILDMORT10TO19,Adolescent mortality rate (per 1 000 age specific cohort),,1990,1990,1990,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,20.03374,20.03 [15.01-26.6],15.01131,26.59897
NCD_HYP_DIAGNOSIS_C,"Prevalence of previous diagnosis of hypertension among adults aged 30-79 with hypertension, crude",,2011,2011,2011,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,24.4,24.4 [17.1-32.7],17.1,32.7
tfr,Total fertility rate (per woman),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,EDUCATIONLEVEL,EDUCATIONLEVEL_NHLM,None,6.92673,6.9 [6.7-7.2],6.70698,7.15364
NCD_HYP_CONTROL_A,"Prevalence of controlled hypertension among adults aged 30-79 years with hypertension, age-standardized",,2002,2002,2002,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,1.9,1.9 [0.4-5.4],0.4,5.4
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),,2006,2006,2006,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,22.7,22.7 [19.7-25.7],19.7,25.7
imr,Infant mortality rate (deaths per 1000 live births),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE01,Decile 1 (poorest),60.03202,60.0 [50.5-69.6],50.47323,69.59081
WHS2_126,Distribution of years of life lost by major cause group,,2012,2012,2012,EMR,Eastern Mediterranean,SDN,Sudan,GHECAUSES,GHECAUSES_GHE060,Noncommunicable diseases,23.0,23,,
CHILDMORT10TO19,Adolescent mortality rate (per 1 000 age specific cohort),,2008,2008,2008,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,21.61526,21.62 [15.81-28.7],15.80626,28.70081
ors,Children aged < 5 years with diarrhoea receiving oral rehydration salts (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHQUINTILE,WEALTHQUINTILE_WQ2,Q2,24.69901,24.7 [21.3-28.4],21.32492,28.41416
SA_0000001537,Restrictions on sponsorship of sporting events,,2016,2016,2016,EMR,Eastern Mediterranean,SDN,Sudan,SPONSORSHIPORIGINATOR,SPONSORSHIPORIGINATOR_SA_FROM_SPIRITS_INDUSTRY,From spirits industry,,ban,,
